Item,Category,Qty_2425,Revenue_2425,Qty_2526,Revenue_2526,Growth_pct,ABC_Class,Forecast_Next_Month
16CH DVR 2MP CP PLUS,CCTV & Security,1,5508.47,15.0,77711.89,1310.77,B,
My Tvs 2 Channel Apmlifire,Other,2,5508.47,1.0,2881.36,-47.69,B,
PRAMA 16CH NVR Q1,CCTV & Security,1,5508.47,,,,B,
"Nippon 4"" Speaker NFC-1401",Car Audio,8,5254.23,66.0,40465.99,670.16,B,
My Tvs H8 Led Bulb 150 Watt,Other,2,5200.0,1.0,2203.39,-57.63,B,
Innova Hycross Life Long Mate GFX,Car Accessories,1,5084.75,1.0,3937.5,-22.56,B,
"ZEBION LED 24"" CRISTA CURVED",Other,1,5084.75,,,,B,
Baleno Oem Armrest,Other,2,5084.74,2.0,3389.83,-33.33,B,
SECUREYE 4G LITE ROUTER,Networking,4,5042.38,3.0,3813.57,-24.37,B,
Ahuja Amplifier DPA370 USB /BT 30W,Other,1,5042.37,,,,B,
Wagnor 2019 Wind Visor SL Galio,Car Accessories,6,4970.35,31.0,22317.63,349.02,B,
"Police Light 14"" Grey 14""",Other,1,4915.25,,,,B,
Tenda Router N301 300MBPS,Networking,6,4788.11,21.0,15999.96,234.16,B,
Prevento M/F Pillpow-Neck&Back Rest Combo (BK),Other,4,4761.9,,,,B,
CP PLUS 4CH DVR 2MP 2WAY,CCTV & Security,2,4745.76,,,,B,
CP Plus 08CH DVR 5MP,CCTV & Security,1,4661.02,7.0,33813.56,625.45,B,
RD Dash Cam F/R DC-02,Other,1,4661.02,,,,B,
TP-LINK VIGI 4MP 4G LTE P/T C/VU CAMERA,CCTV & Security,1,4661.02,8.0,36694.93,687.27,B,
HYP-GAMA LITE DUAL CH DASH CAM,Other,1,4661.02,,,,B,
"INTEX LED MONITOR 24"" INCH",Other,1,4661.02,,,,B,
"Police Light 12"" Grey B/R",Other,1,4661.02,,,,B,
Seltos 2023 Life Long Mate GFX,Car Accessories,2,4576.28,11.0,19362.19,323.1,B,
SELTOS 2026 LIFE LONG MATE GFX,Car Accessories,2,4576.28,2.0,3701.69,-19.11,B,
THAR 2025 LIFE LONG MATE GFX,Car Accessories,2,4576.28,,,,B,
TIGOR 16-20 Life Long Mate GFX,Car Accessories,2,4576.28,,,,B,
Venue 2022 Life Long Mats GFX,Car Accessories,2,4576.28,11.0,22868.93,399.73,B,
Swift 2018 Life Long Mate GFX,Car Accessories,2,4576.28,24.0,50135.49,995.55,B,
Altroz Life Long Mate GFX,Car Accessories,2,4576.28,1.0,2288.14,-50.0,B,
EXOTIC slf matt Pvc Floor Scorpio N-22 BK(B),Car Accessories,3,4576.27,37.0,58855.93,1186.11,B,
EXOTIC Slf Matt Pvc Floor Crysta/Fortuner-17 BLK(B),Car Accessories,3,4576.27,10.0,17966.12,292.59,B,
Kia Carens Combo Kit GFX,Other,1,4453.13,,,,B,
My Tvs Led Bulb H7 152 Watt,Other,2,4406.78,37.0,80396.62,1724.38,B,
My Tvs Led Bulb HB3/9005 152Watt,Other,2,4406.78,2.0,4406.78,0.0,B,
LENOVO Bumper Round Camera AHD,CCTV & Security,4,4406.76,4.0,4406.76,0.0,B,
5MP HD D/L Aud Dome CP Plus,CCTV & Security,3,4322.04,33.0,48644.12,1025.49,B,
EXOTIC Slf Matt Pvc Floor Dzire-17 Beige (S),Car Accessories,3,4322.04,12.0,15084.78,249.02,C,
EXOTIC slf matt Pvc Floor SELTOS 2026 BLK (M),Car Accessories,3,4281.36,5.0,5762.69,34.6,C,
Tekba Set Top Box Shelf T107,Other,50,4237.5,,,,C,
Tekba Led Wall Mount T115,Other,50,4237.5,,,,C,
TIGOR WIND VISOR SL GALIO,Car Accessories,5,4237.3,2.0,1425.78,-66.35,C,
Tenda Router AC10 Gigabit 1200MBPS,Networking,2,4237.29,2.0,4067.8,-4.0,C,
INFINITY ALPHA 6530 COAXIAL,Other,2,4237.28,,,,C,
"Alto800 12-18,K-10,14 Wind Visor M",Car Accessories,7,4076.29,2.0,825.0,-79.76,C,
EZVIZ 4MP WIFI P/T Dual Lens Camera,CCTV & Security,1,4067.8,,,,C,
Exotic Slf Matt Pvc Floor VENUE 2025 BK (M),Car Accessories,3,4067.8,24.0,30084.67,639.58,C,
Prama 8CH 2MP NVR Q1,CCTV & Security,1,4067.8,,,,C,
EXOTIC Slf Matt Pvc Floor Carens-22 BK(B),Car Accessories,2,4067.79,7.0,12838.99,215.63,C,
"Pioneer 6"" Speaker 280W",Car Audio,3,4067.79,20.0,27627.14,579.17,C,
Ertiga 2018/XL6 Roof Rail Galio,Other,2,3875.01,1.0,2132.81,-44.96,C,
Venue Wind Visor SL Galio,Car Accessories,5,3855.95,12.0,9393.97,143.62,C,
Nexon Foot Step Galio,Other,10,3855.9,22.0,7802.94,102.36,C,
LED METAL STAND-4,Other,30,3813.6,3.0,5322.04,39.55,C,
Blockbuster 220W LED BULB H4,Other,1,3813.56,24.0,86949.16,2180.0,C,
Blockbuster BBT-220W LED H4,Other,1,3813.56,2.0,7203.39,88.89,C,
Nexon 2023 Roof Rail Galio,Other,2,3779.66,2.0,3058.59,-19.08,C,
ATEK CCTV BNC,CCTV & Security,290,3685.9,5598.0,64954.86,1662.25,C,
EXOTIC slf matt Pvc Floor SIERRA 2025 BLK (M),Car Accessories,3,3644.06,,,,C,
Toreto 65W CTOC Cable Dura A8,Other,22,3627.07,1.0,152.54,-95.79,C,
Grand Vitara Wind Visor SL,Car Accessories,3,3597.46,19.0,20372.36,466.3,C,
PRAMA CAT-6 305MTR WIRE ROLL,CCTV & Security,105,3559.5,1225.0,29327.84,723.93,C,
Steering Wheel Assembly OEM Single B,Other,1,3559.32,,,,C,
Maxxlink MP3 Player BT/FM ML-720,Car Audio,3,3474.57,5.0,5508.45,58.54,C,
Tata Punch EV 2024 Onward Life Long Mate GFX,Car Accessories,2,3437.51,,,,C,
Blockbuster 220W Led Bulb 9012,Other,1,3389.83,2.0,6779.66,100.0,C,
NFS-9005 THEMIS CAR AUTOMOTIVE LED BULB,Other,1,3389.83,,,,C,
Maxxlink R8 Led Bulb H1 180W,Other,1,3389.83,3.0,11525.43,240.0,C,
Portronics Car Power 1C 71W Charger,Other,6,3305.1,18.0,9957.67,201.28,C,
EXOTIC Slf Matt Pvc Floor XUV-300-18 BLK (M),Car Accessories,3,3305.07,17.0,21016.89,535.9,C,
Bolero Neo Life Long Mate GFX,Car Accessories,1,3250.0,1.0,2765.63,-14.9,C,
Golden Bull Spoiler Wagnor 19 Mix/MKT,Other,2,3152.54,13.0,17999.97,470.97,C,
CP PLUS 8+2+2SFP GEPS,CCTV & Security,1,3135.59,,,,C,
Hikvision Biometric Machine DS-K1T8003EF,CCTV & Security,1,3135.59,1.0,3135.59,0.0,C,
"Pioneer 6""X9"" New Spk 650W",Car Audio,1,3050.85,,,,C,
My Tvs Hyper Beam HB3/9005 200W Led Blub,Other,1,3050.85,11.0,33813.58,1008.33,C,
RD FP MS01 BREZZA FOG LAMP,Car Accessories,2,3050.84,11.0,16652.51,445.83,C,
TP-LINK 300MBPS W/L ROUTER,Networking,4,3050.84,38.0,29491.42,866.67,C,
Toreto Braided Cable Aux To Aux Pro 2,Other,20,3050.8,,,,C,
Toreto Braided Cable Edge 3 IPHONE,Other,20,3050.8,,,,C,
EXOTIC Slf matt Pvc Floor XL6-19 BK(B),Car Accessories,2,2966.1,12.0,21227.13,615.66,C,
EXOTIC Slf Matt Pvc Floor Ertiga-18 Beige(B),Car Accessories,2,2966.1,11.0,17542.37,491.43,C,
